Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
130,James Washington,WR,23.159,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,5.10,7.1,7.1,6.1,0,0,0,0,0,0,0,0,2,51,0,0,"","","",""
131,Derrius Guice,RB,22.079,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,3.80,6.8,6.8,5.3,0,0,0,0,0,10,18,0,3,20,0,0,"","","",""
132,Rashard Higgins,WR,24.336,2019-09-08,NFL,CLE,"",TEN,L 13-43,1,1,Sun,4.60,6.6,6.6,5.6,0,0,0,0,0,0,0,0,2,46,0,0,"","","",""
133,Peyton Barber,RB,25.193,2019-09-08,NFL,TAM,"",SFO,L 17-31,1,1,Sun,4.50,6.5,6.5,5.5,0,0,0,0,0,8,33,0,2,12,0,0,"","","",""
134,Devin Funchess,WR,25.110,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,3.20,6.2,6.2,4.7,0,0,0,0,0,0,0,0,3,32,0,0,"","","",""
135,Curtis Samuel,WR,23.028,2019-09-08,NFL,CAR,"",LAR,L 27-30,1,1,Sun,3.20,6.2,6.2,4.7,0,0,0,0,0,0,0,0,3,32,0,0,"","","",""
136,Alex Armah,RB,25.114,2019-09-08,NFL,CAR,"",LAR,L 27-30,1,1,Sun,6.10,6.1,6.1,6.1,0,0,0,0,0,1,1,1,0,0,0,0,"","","",""
137,Vance McDonald,TE,29.087,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,4.00,6.0,6.0,5.0,0,0,0,0,0,0,0,0,2,40,0,0,"","","",""
138,Damion Willis,WR,22.080,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,3.00,6.0,6.0,4.5,0,0,0,0,0,0,0,0,3,30,0,0,"","","",""
139,Brandin Cooks,WR,25.348,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,3.90,5.9,5.9,4.9,0,0,0,0,0,0,0,0,2,39,0,0,"","","",""
140,Jared Cook,TE,32.155,2019-09-09,NFL,NOR,"",HOU,W 30-28,1,1,Mon,3.70,5.7,5.7,4.7,0,0,0,0,0,0,0,0,2,37,0,0,"","","",""
